Команда,Поточний рейтинг,Гра 1 Результат,Гра 1 Місце,Гра 1 μ,Гра 1 σ,Гра 1 Рейтинг,Гра 2 Результат,Гра 2 Місце,Гра 2 μ,Гра 2 σ,Гра 2 Рейтинг,Гра 3 Результат,Гра 3 Місце,Гра 3 μ (×2),Гра 3 σ (×2),Гра 3 Рейтинг (×2),Гра 4 Результат,Гра 4 Місце,Гра 4 μ,Гра 4 σ,Гра 4 Рейтинг,Гра 5 Результат,Гра 5 Місце,Гра 5 μ,Гра 5 σ,Гра 5 Рейтинг,Гра 6 Результат,Гра 6 Місце,Гра 6 μ (×2),Гра 6 σ (×2),Гра 6 Рейтинг (×2),Гра 7 Результат,Гра 7 Місце,Гра 7 μ,Гра 7 σ,Гра 7 Рейтинг,Гра 8 Результат,Гра 8 Місце,Гра 8 μ,Гра 8 σ,Гра 8 Рейтинг,Гра 9 Результат,Гра 9 Місце,Гра 9 μ (×2),Гра 9 σ (×2),Гра 9 Рейтинг (×2),Гра 10 Результат,Гра 10 Місце,Гра 10 μ,Гра 10 σ,Гра 10 Рейтинг,Гра 11 Результат,Гра 11 Місце,Гра 11 μ,Гра 11 σ,Гра 11 Рейтинг,Гра 12 Результат,Гра 12 Місце,Гра 12 μ (×2),Гра 12 σ (×2),Гра 12 Рейтинг (×2)
Манія Величі,927.16,19,25,16.6904,7.2875,1010.58,,,,,,21,38,-2.4554,6.0560,927.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вабі Сабі,925.45,,,,,,16,50,-1.2973,6.8061,925.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алкобоги,912.48,,,,,,19,41,10.2118,6.8061,983.00,,,,,,,,,,,13,49,-5.3164,6.0935,912.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БТВ,904.94,,,,,,23,29,24.2955,6.8061,1053.42,,,,,,,,,,,12,51,3.7417,6.0832,957.88,,,,,,,,,,,5,44,-7.5867,5.7127,904.94,,,,,,,,,,,,,,,,,,,,
КАВА,904.89,,,,,,17,46,1.8987,6.8061,941.43,,,,,,,,,,,17,42,-6.8032,6.1095,904.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Серёга Хруст и ГидрогарикTwo,900.73,,,,,,,,,,,,,,,,,,,,,12,51,-5.9041,6.9749,900.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,890.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,41,-8.4246,6.7487,890.39
DC,890.10,,,,,,17,46,1.8987,6.8061,941.43,,,,,,,,,,,,,,,,,,,,,,,,,,7,41,-9.4051,6.2878,890.10,,,,,,,,,,,,,,,,,,,,
Лось Barbudos,888.93,,,,,,18,42,7.0140,6.8061,967.01,,,,,,,,,,,12,51,-10.0159,6.0988,888.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пунктуальність,885.54,,,,,,17,46,1.8987,6.8061,941.43,,,,,,,,,,,14,48,-10.6726,6.1095,885.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Валькірія,874.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,42,-11.5398,6.7544,874.76
Прозорі Зумери,874.56,19,25,16.6904,7.2875,1010.58,26,21,25.6743,6.2921,1065.45,25,31,16.1021,5.4530,1025.98,10,34,10.8926,5.1671,1002.79,21,32,10.2970,4.8607,1002.88,27,35,2.1641,4.5474,965.35,5,37,-2.7943,4.4229,941.80,14,36,-5.4584,4.2860,929.85,15,41,-13.2776,4.0739,892.87,17,25,-13.5744,4.0012,892.12,15,28,-15.2960,3.9391,884.13,32,35,-17.5235,3.7822,874.56
Mamihlapinatapai,874.19,,,,,,21,35,17.2519,6.8061,1018.20,17,41,-4.3975,5.7894,920.12,14,15,2.0815,5.4705,955.70,22,25,5.0759,5.1140,974.24,22,38,-5.8606,4.7612,923.09,11,30,-8.2684,4.6236,912.42,17,32,-9.6070,4.4711,907.25,22,30,-11.2633,4.2343,901.34,17,25,-11.6658,4.1514,900.16,,,,,,27,40,-17.2325,3.9643,874.19
Коментарі Асгарда,872.86,15,36,5.8240,7.2875,956.24,22,32,7.2851,6.3185,973.24,23,35,-1.6256,5.5114,936.76,,,,,,18,38,-4.6197,5.1515,925.39,,,,,,13,27,-5.7876,4.9756,921.31,,,,,,22,30,-8.3159,4.6443,911.98,16,29,-10.1587,4.5323,903.88,17,26,-11.7420,4.4395,896.90,29,38,-17.0060,4.2112,872.86
ЧЧЗЗ,870.77,,,,,,13,53,-5.1325,6.8061,906.28,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,-13.2398,6.3034,870.77,,,,,,,,,,,,,,,,,,,,
Нащадки Гуріна,868.69,9,41,-0.5680,7.2875,924.28,,,,,,,,,,,,,,,,18,38,-6.0393,6.4344,905.46,,,,,,9,34,-12.7275,6.0916,875.45,20,25,-9.6969,5.7473,894.04,,,,,,10,33,-15.1920,5.5354,868.69,,,,,,,,,,
ВеЧерКом,868.64,,,,,,12,54,-7.0501,6.8061,896.69,,,,,,,,,,,17,42,-14.0047,6.1341,868.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Де Лореан?,863.34,12,39,1.3496,7.2875,933.87,20,37,-1.4667,6.3349,929.32,22,36,-10.2795,5.5545,893.06,8,38,-15.5179,5.2823,869.59,19,36,-15.1057,4.9867,874.60,,,,,,11,30,-17.1622,4.8372,865.82,17,32,-17.9901,4.6710,863.34,,,,,,,,,,,,,,,,,,,,
Скільки в нас мушкетів?,862.12,12,39,1.3496,7.2875,933.87,,,,,,,,,,,,,,,,,,,,,24,36,-14.9004,6.3374,862.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Льолік і Болік,851.94,,,,,,11,56,-8.9677,6.8061,887.10,,,,,,8,38,-17.0189,6.2965,851.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Брама,849.53,,,,,,17,46,1.8987,6.8061,941.43,,,,,,,,,,,15,47,-9.8130,6.1095,889.84,,,,,,,,,,,6,42,-18.5808,5.7564,849.53,,,,,,,,,,,,,,,,,,,,
МЛК,842.84,,,,,,12,54,-7.0501,6.8061,896.69,,,,,,,,,,,13,49,-19.1634,6.1341,842.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Шабля,841.19,,,,,,14,52,-3.8541,6.8061,912.67,,,,,,,,,,,16,46,-13.5762,6.1245,870.87,,,,,,,,,,,9,40,-20.2101,5.7762,841.19,,,,,,,,,,,,,,,,,,,,
Етанол Краси,841.19,,,,,,,,,,,,,,,,5,41,1.7377,7.2712,935.98,7,54,-18.9288,6.4169,841.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Легіон,835.64,,,,,,24,27,27.4951,6.8061,1069.41,,,,,,8,38,13.6567,6.2360,1005.92,17,42,4.3538,5.6884,964.89,30,32,-3.3014,5.2068,931.42,6,36,-8.8932,5.0238,905.30,12,38,-13.0193,4.8281,886.62,14,42,-22.7093,4.5415,841.04,10,33,-25.5547,4.4472,827.75,13,29,-27.7727,4.3685,817.45,38,28,-24.5280,4.1721,835.64
Команда №2,827.41,18,31,11.5768,7.2875,985.01,18,42,1.2643,6.3020,943.30,27,28,2.8702,5.5114,959.24,4,43,-6.1494,5.2277,916.98,,,,,,23,37,-15.0506,4.8750,876.00,11,30,-17.0191,4.7353,867.55,17,32,-17.8219,4.5794,865.10,19,37,-23.1172,4.3403,841.01,18,24,-22.1701,4.2584,846.57,12,31,-24.8306,4.1876,833.97,32,35,-26.4932,4.0121,827.41
Серьога Хруст і Гідрогарік,826.03,,,,,,7,58,-11.5281,6.8061,874.30,,,,,,,,,,,,,,,,,,,,,,,,,,6,42,-22.1551,6.3200,826.03,,,,,,,,,,,,,,,,,,,,
К-2,820.70,,,,,,15,51,-2.5757,6.8061,919.06,,,,,,,,,,,18,38,-6.9551,6.1209,904.02,,,,,,10,33,-12.2234,5.8279,880.60,13,37,-16.4737,5.5261,862.37,22,30,-17.8761,5.1040,859.58,19,21,-15.8876,4.9644,870.92,16,27,-17.9601,4.8464,861.74,23,42,-26.7298,4.5650,820.70
Харківська весільна слононіжка,816.18,,,,,,20,37,13.4114,6.8061,999.00,16,42,-8.6407,5.8030,898.77,9,36,-12.9661,5.4890,880.28,,,,,,,,,,,7,35,-17.8667,5.2861,857.81,,,,,,16,40,-26.7319,4.9241,817.10,,,,,,18,24,-27.1284,4.8178,816.18,,,,,
ЩДКоти,806.94,16,34,7.7416,7.2875,965.83,10,57,-14.8288,6.3124,862.73,,,,,,10,34,-17.6839,5.9217,852.36,17,42,-21.4409,5.5080,837.72,,,,,,,,,,,,,,,,19,37,-28.3936,5.1089,806.94,,,,,,,,,,,,,,,
Злобні Урук-хай,803.96,,,,,,18,42,7.0140,6.8061,967.01,9,44,-16.2520,5.8307,860.43,9,36,-19.8038,5.5268,845.71,18,38,-20.5462,5.1962,845.31,19,39,-29.4367,4.8858,803.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЗ,782.65,,,,,,18,42,7.0140,6.8061,967.01,8,45,-17.7243,5.8328,853.05,5,41,-24.2911,5.5316,823.23,7,54,-33.0497,5.2101,782.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
